signal_date,exit_date,regime,selected,basket_return_pct,benchmark_return_pct,excess_return_pct
20180105,20180112,risk_on,068270;035420;207940,11.576,-0.7097,12.2856
20180112,20180119,risk_on,068270;105560;035420,-6.5639,0.9241,-7.488
20180119,20180126,risk_on,068270;105560;005380,-0.3926,1.6668,-2.0593
20180126,20180202,risk_on,068270;009540;207940,2.7539,-2.3923,5.1463
20180202,20180209,risk_on,068270;207940;105560,-7.1852,-6.6681,-0.5171
20180209,20180220,cash,,0.0,2.5604,-2.5604
20180220,20180227,cash,,0.0,1.2803,-1.2803
20180227,20180307,risk_on,068270;207940;005380,-4.6695,-1.7474,-2.922
20180307,20180314,cash,,0.0,3.4775,-3.4775
20180314,20180321,risk_on,068270;000660;207940,0.8596,-0.0622,0.9217
20180321,20180328,risk_on,068270;207940;009540,-3.8925,-2.9163,-0.9762
20180328,20180404,cash,,0.0,-0.9159,0.9159
20180404,20180411,cash,,0.0,1.3694,-1.3694
20180411,20180418,cash,,0.0,1.6999,-1.6999
20180418,20180425,risk_on,207940;000660;028260,-5.9132,-1.3615,-4.5517
20180425,20180503,cash,,0.0,1.7656,-1.7656
20180503,20180511,risk_on,005930;000660;005380,-1.2408,-0.2977,-0.9431
20180511,20180518,risk_on,000660;005930;000270,-0.6202,-0.848,0.2277
20180518,20180528,cash,,0.0,1.1081,-1.1081
20180528,20180604,risk_on,006400;000660;005930,-0.8277,-1.5335,0.7059
20180604,20180612,cash,,0.0,0.859,-0.859
20180612,20180620,cash,,0.0,-4.0511,4.0511
20180620,20180627,cash,,0.0,-0.6252,0.6252
20180627,20180704,cash,,0.0,-3.0409,3.0409
20180704,20180711,cash,,0.0,0.7851,-0.7851
20180711,20180718,cash,,0.0,0.6438,-0.6438
20180718,20180725,cash,,0.0,-0.4699,0.4699
20180725,20180801,cash,,0.0,1.2339,-1.2339
20180801,20180808,cash,,0.0,-0.486,0.486
20180808,20180816,cash,,0.0,-2.9734,2.9734
20180816,20180823,cash,,0.0,1.9889,-1.9889
20180823,20180830,cash,,0.0,1.3093,-1.3093
20180830,20180906,cash,,0.0,-1.1903,1.1903
20180906,20180913,cash,,0.0,-0.6282,0.6282
20180913,20180920,cash,,0.0,2.2685,-2.2685
20180920,20181002,cash,,0.0,-0.7003,0.7003
20181002,20181011,cash,,0.0,-6.8392,6.8392
20181011,20181018,cash,,0.0,0.5413,-0.5413
20181018,20181025,cash,,0.0,-3.8023,3.8023
20181025,20181101,cash,,0.0,-1.6746,1.6746
20181101,20181108,cash,,0.0,3.7086,-3.7086
20181108,20181115,cash,,0.0,-0.3688,0.3688
20181115,20181122,cash,,0.0,-1.3083,1.3083
20181122,20181129,cash,,0.0,2.2981,-2.2981
20181129,20181206,cash,,0.0,-2.4085,2.4085
20181206,20181213,cash,,0.0,0.9697,-0.9697
20181213,20181220,cash,,0.0,-1.8861,1.8861
20181220,20181228,cash,,0.0,0.2822,-0.2822
20181228,20190108,cash,,0.0,-0.6199,0.6199
20190108,20190115,cash,,0.0,3.8048,-3.8048
20190115,20190122,cash,,0.0,0.9675,-0.9675
20190122,20190129,cash,,0.0,3.6851,-3.6851
20190129,20190208,cash,,0.0,-0.4193,0.4193
20190208,20190215,cash,,0.0,0.8585,-0.8585
20190215,20190222,cash,,0.0,1.4714,-1.4714
20190222,20190304,risk_on,000270;000660;005380,-2.7333,-2.0173,-0.7159
20190304,20190311,cash,,0.0,-2.544,2.544
20190311,20190318,cash,,0.0,1.8072,-1.8072
20190318,20190325,cash,,0.0,-1.0191,1.0191
20190325,20190401,cash,,0.0,1.4198,-1.4198
20190401,20190408,risk_on,000660;005930;012450,-0.0493,1.9075,-1.9568
20190408,20190415,risk_on,000660;000270;005930,2.4663,1.1166,1.3496
20190415,20190422,risk_on,000660;000270;005930,0.8932,-1.2394,2.1326
20190422,20190429,risk_on,000270;000660;068270,1.0208,0.3258,0.695
20190429,20190508,risk_on,000270;005380;068270,-3.3806,-2.3213,-1.0593
20190508,20190515,risk_on,000270;005380;000660,-5.8057,-3.6242,-2.1815
20190515,20190522,cash,,0.0,-1.0902,1.0902
20190522,20190529,cash,,0.0,-1.9849,1.9849
20190529,20190605,cash,,0.0,2.3282,-2.3282
20190605,20190613,cash,,0.0,0.8801,-0.8801
20190613,20190620,cash,,0.0,2.1448,-2.1448
20190620,20190627,risk_on,000270;005380;006400,1.1399,1.0707,0.0692
20190627,20190704,risk_on,000270;006400;068270,-0.7835,-1.2366,0.4531
20190704,20190711,risk_on,006400;000270;068270,-2.925,-0.8723,-2.0527
20190711,20190718,cash,,0.0,-0.5137,0.5137
20190718,20190725,cash,,0.0,0.7025,-0.7025
20190725,20190801,cash,,0.0,-2.3997,2.3997
20190801,20190808,cash,,0.0,-4.7838,4.7838
20190808,20190816,cash,,0.0,0.1945,-0.1945
20190816,20190823,cash,,0.0,0.9072,-0.9072
20190823,20190830,cash,,0.0,0.8946,-0.8946
20190830,20190906,cash,,0.0,2.6289,-2.6289
20190906,20190917,cash,,0.0,2.2808,-2.2808
20190917,20190924,cash,,0.0,2.5044,-2.5044
20190924,20191001,risk_on,012450;035420;000660,-0.2156,-1.2402,1.0246
20191001,20191010,risk_on,035420;012450;009540,-1.2302,-1.6395,0.4094
20191010,20191017,cash,,0.0,2.108,-2.108
20191017,20191024,risk_on,207940;012450;035420,1.6728,0.5442,1.1287
20191024,20191031,risk_on,207940;068270;009540,1.6461,-0.1281,1.7742
20191031,20191107,risk_on,207940;068270;028260,0.0017,2.8212,-2.8195
20191107,20191114,risk_on,207940;028260;005930,-0.9665,-0.2454,-0.7211
20191114,20191121,risk_on,207940;035420;028260,-2.7189,-1.9036,-0.8153
20191121,20191128,risk_on,207940;035420;105560,1.9274,1.2745,0.6529
20191128,20191205,risk_on,207940;105560;035420,-0.6607,-2.7849,2.1241
20191205,20191212,risk_on,207940;105560;035420,1.6872,4.3972,-2.71
20191212,20191219,risk_on,207940;105560;005930,2.8825,3.008,-0.1255
20191219,20191227,risk_on,000660;207940;028260,4.1854,1.4251,2.7603
20191227,20200107,risk_on,207940;000660;028260,-1.8152,-1.1869,-0.6283
20200107,20200114,risk_on,000660;207940;035420,4.2018,3.3864,0.8153
20200114,20200121,risk_on,000660;207940;006400,1.0873,0.2773,0.81
20200121,20200130,risk_on,006400;005930;000660,-2.6678,-4.5446,1.8768
20200130,20200206,risk_on,006400;207940;005930,7.5475,4.252,3.2955
20200206,20200213,risk_on,006400;207940;000660,3.0878,0.1652,2.9225
20200213,20200220,risk_on,006400;207940;028260,-2.1316,-1.3948,-0.7368
20200220,20200227,risk_on,006400;207940;000660,-8.1262,-6.4755,-1.6506
20200227,20200305,risk_on,006400;207940;000660,3.408,1.2644,2.1436
20200305,20200312,risk_on,006400;207940;068270,-7.1285,-11.4948,4.3663
20200312,20200319,cash,,0.0,-19.6199,19.6199
20200319,20200326,cash,,0.0,14.8485,-14.8485
20200326,20200402,cash,,0.0,1.7838,-1.7838
20200402,20200409,cash,,0.0,5.4555,-5.4555
20200409,20200417,cash,,0.0,3.9051,-3.9051
20200417,20200424,cash,,0.0,-1.9651,1.9651
20200424,20200506,cash,,0.0,2.0045,-2.0045
20200506,20200513,cash,,0.0,0.3349,-0.3349
20200513,20200520,cash,,0.0,2.6392,-2.6392
20200520,20200527,cash,,0.0,1.844,-1.844
20200527,20200603,cash,,0.0,6.9358,-6.9358
20200603,20200610,risk_on,006400;207940;068270,11.8911,2.031,9.8601
20200610,20200617,risk_on,068270;006400;207940,8.2456,-3.1534,11.399
20200617,20200624,risk_on,207940;068270;006400,2.8477,1.2563,1.5914
20200624,20200701,risk_on,068270;207940;035420,-6.1683,-1.8532,-4.3151
20200701,20200708,risk_on,068270;207940;035420,2.5323,2.1203,0.4121
20200708,20200715,risk_on,035420;068270;207940,1.5422,2.2486,-0.7064
20200715,20200722,risk_on,035420;068270;006400,-1.7636,0.4942,-2.2578
20200722,20200729,risk_on,068270;005380;006400,-0.4599,2.4247,-2.8846
20200729,20200805,risk_on,005380;000270;068270,5.1115,1.6266,3.4849
20200805,20200812,risk_on,005380;006400;000270,13.3527,5.406,7.9467
20200812,20200820,risk_on,005380;000270;006400,-11.254,-6.5534,-4.7006
20200820,20200827,risk_on,005380;035420;000270,6.8799,3.0677,3.8121
20200827,20200903,risk_on,005380;035420;006400,1.6755,1.7029,-0.0274
20200903,20200910,risk_on,005380;035420;012450,-5.5386,0.0319,-5.5705
20200910,20200917,risk_on,005380;035420;000270,7.2215,0.2872,6.9343
20200917,20200924,risk_on,005380;000270;006400,-7.6355,-4.7313,-2.9042
20200924,20201006,risk_on,005380;000270;005930,7.3568,4.235,3.1218
20201006,20201014,risk_on,005380;000270;005930,-0.7037,0.495,-1.1986
20201014,20201021,risk_on,005380;000270;000660,-5.8906,-0.0957,-5.7949
20201021,20201028,risk_on,005380;105560;000270,8.2177,-0.837,9.0548
20201028,20201104,risk_on,000270;005380;105560,-2.2056,0.3183,-2.524
20201104,20201111,risk_on,000270;105560;005380,9.6221,5.3979,4.2242
20201111,20201118,risk_on,000270;105560;006400,-0.9409,2.5675,-3.5084
20201118,20201125,risk_on,000270;000660;105560,1.2177,2.49,-1.2723
20201125,20201202,risk_on,009540;000270;105560,-1.1086,3.0313,-4.1399
20201202,20201209,risk_on,000660;000270;068270,5.731,3.7635,1.9675
20201209,20201216,risk_on,000660;000270;005930,-1.5029,0.0963,-1.5992
20201216,20201223,risk_on,000660;068270;006400,-0.875,-0.3368,-0.5382
20201223,20210104,risk_on,000660;068270;028260,4.4703,9.2418,-4.7715
20210104,20210111,risk_on,006400;000660;005930,7.9957,7.6866,0.3091
20210111,20210118,risk_on,006400;005380;005930,-6.5959,-4.8014,-1.7945
20210118,20210125,risk_on,006400;012450;005380,10.3406,6.4984,3.8422
20210125,20210201,risk_on,006400;000270;012450,-4.7424,-4.6573,-0.0851
20210201,20210208,risk_on,000270;012450;006400,0.9707,0.9021,0.0686
20210208,20210217,risk_on,012450;000270;006400,-0.3112,1.1649,-1.4761
20210217,20210224,risk_on,006400;035420;012450,-9.2218,-3.8133,-5.4085
20210224,20210304,risk_on,035420;000660;012450,2.7245,1.716,1.0085
20210304,20210311,risk_on,035420;000660;012450,0.384,-0.6642,1.0482
20210311,20210318,risk_on,012450;035420;105560,2.0723,1.1581,0.9142
20210318,20210325,risk_on,000270;012450;035420,-6.564,-1.8428,-4.7212
20210325,20210401,risk_on,012450;105560;000270,3.4038,2.5293,0.8745
20210401,20210408,risk_on,105560;012450;000270,-0.3523,1.6078,-1.9601
20210408,20210415,risk_on,000270;009540;035420,1.2568,1.4453,-0.1886
20210415,20210422,risk_on,009540;035420;105560,0.2832,-1.0934,1.3766
20210422,20210429,risk_on,009540;105560;055550,4.6826,-0.3273,5.0099
20210429,20210507,risk_on,009540;055550;105560,5.2948,0.7394,4.5554
20210507,20210514,risk_on,009540;105560;055550,-1.9357,-1.9813,0.0456
20210514,20210524,risk_on,009540;207940;055550,-3.4386,0.0943,-3.5329
20210524,20210531,risk_on,009540;105560;055550,1.0532,1.58,-0.5268
20210531,20210607,risk_on,012450;105560;055550,0.4697,1.4034,-0.9337
20210607,20210614,risk_on,012450;055550;028260,-1.5286,-0.3124,-1.2163
20210614,20210621,risk_on,012450;055550;028260,-3.3966,-0.4025,-2.9942
20210621,20210628,risk_on,012450;207940;035420,0.2099,1.9976,-1.7877
20210628,20210705,risk_on,035420;012450;207940,6.0894,-0.2733,6.3627
20210705,20210712,risk_on,012450;006400;035420,-0.3726,-1.383,1.0103
20210712,20210719,risk_on,012450;006400;035420,2.8051,-0.3825,3.1876
20210719,20210726,risk_on,012450;035420;207940,-0.5756,-0.4991,-0.0764
20210726,20210802,risk_on,012450;035420;006400,1.1182,-0.1518,1.27
20210802,20210809,risk_on,012450;035420;006400,0.9782,1.1593,-0.1812
20210809,20210817,risk_on,035420;006400;012450,-1.7628,-4.6785,2.9157
20210817,20210824,risk_on,006400;207940;035420,-2.152,0.2805,-2.4325
20210824,20210831,risk_on,006400;207940;035420,1.4238,1.7185,-0.2947
20210831,20210907,risk_on,006400;035420;068270,-1.8749,-0.3798,-1.4951
20210907,20210914,risk_on,006400;207940;035420,-5.3081,-1.3409,-3.9672
20210914,20210924,cash,,0.0,-0.7249,0.7249
20210924,20211001,cash,,0.0,-3.7127,3.7127
20211001,20211012,cash,,0.0,-3.2815,3.2815
20211012,20211019,cash,,0.0,3.8656,-3.8656
20211019,20211026,cash,,0.0,0.9214,-0.9214
20211026,20211102,cash,,0.0,-1.001,1.001
20211102,20211109,cash,,0.0,-1.1639,1.1639
20211109,20211116,cash,,0.0,0.9471,-0.9471
20211116,20211123,cash,,0.0,0.4705,-0.4705
20211123,20211130,cash,,0.0,-5.4812,5.4812
20211130,20211207,cash,,0.0,5.8782,-5.8782
20211207,20211214,cash,,0.0,-0.3018,0.3018
20211214,20211221,cash,,0.0,-0.2416,0.2416
20211221,20211228,cash,,0.0,2.0046,-2.0046
20211228,20220105,cash,,0.0,-2.0771,2.0771
20220105,20220112,cash,,0.0,1.4104,-1.4104
20220112,20220119,cash,,0.0,-4.2218,4.2218
20220119,20220126,cash,,0.0,-4.3648,4.3648
20220126,20220207,cash,,0.0,0.5191,-0.5191
20220207,20220214,cash,,0.0,0.1075,-0.1075
20220214,20220221,cash,,0.0,1.5268,-1.5268
20220221,20220228,cash,,0.0,-1.8651,1.8651
20220228,20220308,cash,,0.0,-3.5915,3.5915
20220308,20220316,cash,,0.0,2.1234,-2.1234
20220316,20220323,cash,,0.0,2.4988,-2.4988
20220323,20220330,cash,,0.0,0.0682,-0.0682
20220330,20220406,cash,,0.0,-1.1084,1.1084
20220406,20220413,cash,,0.0,-0.3147,0.3147
20220413,20220420,cash,,0.0,-0.5923,0.5923
20220420,20220427,cash,,0.0,-2.9941,2.9941
20220427,20220504,cash,,0.0,2.1231,-2.1231
20220504,20220512,cash,,0.0,-4.4389,4.4389
20220512,20220519,cash,,0.0,1.6708,-1.6708
20220519,20220526,cash,,0.0,0.3205,-0.3205
20220526,20220603,cash,,0.0,2.2332,-2.2332
20220603,20220613,cash,,0.0,-6.3848,6.3848
20220613,20220620,cash,,0.0,-4.513,4.513
20220620,20220627,cash,,0.0,0.5552,-0.5552
20220627,20220704,cash,,0.0,-3.5209,3.5209
20220704,20220711,cash,,0.0,1.2612,-1.2612
20220711,20220718,cash,,0.0,2.02,-2.02
20220718,20220725,cash,,0.0,1.2653,-1.2653
20220725,20220801,cash,,0.0,1.442,-1.442
20220801,20220808,cash,,0.0,1.1418,-1.1418
20220808,20220816,cash,,0.0,1.4351,-1.4351
20220816,20220823,cash,,0.0,-3.9587,3.9587
20220823,20220830,cash,,0.0,0.2804,-0.2804
20220830,20220906,cash,,0.0,-2.0619,2.0619
20220906,20220915,cash,,0.0,-0.719,0.719
20220915,20220922,cash,,0.0,-3.0561,3.0561
20220922,20220929,cash,,0.0,-5.8046,5.8046
20220929,20221007,cash,,0.0,2.732,-2.732
20221007,20221017,cash,,0.0,-0.3435,0.3435
20221017,20221024,cash,,0.0,0.619,-0.619
20221024,20221031,cash,,0.0,2.7847,-2.7847
20221031,20221107,cash,,0.0,2.738,-2.738
20221107,20221114,cash,,0.0,4.5626,-4.5626
20221114,20221121,cash,,0.0,-2.2051,2.2051
20221121,20221128,cash,,0.0,-0.7471,0.7471
20221128,20221205,cash,,0.0,0.6427,-0.6427
20221205,20221212,cash,,0.0,-1.3045,1.3045
20221212,20221219,cash,,0.0,-1.0795,1.0795
20221219,20221226,cash,,0.0,-1.3677,1.3677
20221226,20230103,cash,,0.0,-2.8406,2.8406
20230103,20230110,cash,,0.0,6.9679,-6.9679
20230110,20230117,cash,,0.0,1.1909,-1.1909
20230117,20230126,cash,,0.0,3.6284,-3.6284
20230126,20230202,risk_on,055550;105560;035420,-2.8991,-0.2148,-2.6843
20230202,20230209,risk_on,035420;105560;000660,1.9723,-0.0457,2.018
20230209,20230216,risk_on,012450;035420;006400,-0.336,-0.199,-0.137
20230216,20230223,risk_on,000270;035420;012450,-0.6078,-1.1736,0.5658
20230223,20230303,risk_on,012450;000270;009540,0.7482,-1.0354,1.7835
20230303,20230310,risk_on,012450;000270;009540,-1.8465,-1.9487,0.1022
20230310,20230317,risk_on,012450;000270;006400,0.0423,0.4772,-0.435
20230317,20230324,risk_on,012450;000270;373220,-1.3078,0.726,-2.0338
20230324,20230331,risk_on,373220;012450;000270,5.0655,2.7687,2.2968
20230331,20230407,risk_on,012450;373220;000270,3.3327,0.413,2.9197
20230407,20230414,risk_on,012450;000270;373220,2.0367,3.1661,-1.1294
20230414,20230421,risk_on,012450;000270;373220,-2.418,-0.8416,-1.5764
20230421,20230428,risk_on,012450;009540;000270,-1.0207,-1.5092,0.4885
20230428,20230509,risk_on,012450;000270;005380,2.2615,0.7516,1.5099
20230509,20230516,risk_on,000270;005380;009540,-1.0486,-0.8232,-0.2254
20230516,20230523,risk_on,000270;005380;012450,3.7408,3.6798,0.061
20230523,20230531,risk_on,012450;068270;005380,-4.1704,0.5035,-4.6738
20230531,20230608,risk_on,000660;009540;005930,3.1534,0.8992,2.2542
20230608,20230615,risk_on,009540;000660;329180,3.6077,0.3053,3.3024
20230615,20230622,risk_on,009540;000660;329180,2.4904,-0.9315,3.4219
20230622,20230629,risk_on,009540;012450;000660,-3.2336,-0.5865,-2.6471
20230629,20230706,risk_on,009540;012450;329180,5.1969,-0.2653,5.4622
20230706,20230713,risk_on,009540;329180;012450,7.0922,1.6744,5.4177
20230713,20230720,risk_on,009540;012450;329180,-4.6944,0.0431,-4.7375
20230720,20230727,risk_on,009540;329180;000660,-2.5798,0.8277,-3.4075
20230727,20230803,risk_on,000660;009540;035420,1.1591,-1.0101,2.1692
20230803,20230810,risk_on,000660;009540;035420,-0.2844,-0.3083,0.0239
20230810,20230818,risk_on,000660;009540;035420,-3.7251,-3.5036,-0.2215
20230818,20230825,risk_on,000660;105560;009540,-0.5219,0.5159,-1.0378
20230825,20230901,risk_on,105560;009540;035420,3.9347,2.5091,1.4256
20230901,20230908,risk_on,009540;105560;000660,-1.9909,-0.5318,-1.4591
20230908,20230915,risk_on,105560;009540;012450,1.3336,2.5671,-1.2335
20230915,20230922,risk_on,105560;035420;055550,-3.4888,-4.0332,0.5443
20230922,20231005,risk_on,105560;055550;028260,-6.0232,-3.5705,-2.4527
20231005,20231013,cash,,0.0,2.3587,-2.3587
20231013,20231020,risk_on,105560;000660;055550,0.9413,-2.5328,3.4741
20231020,20231027,cash,,0.0,-2.7703,2.7703
20231027,20231103,cash,,0.0,3.1176,-3.1176
20231103,20231110,cash,,0.0,1.7389,-1.7389
20231110,20231117,cash,,0.0,2.5411,-2.5411
20231117,20231124,risk_on,012450;068270;028260,-0.9178,0.6756,-1.5934
20231124,20231201,risk_on,012450;068270;028260,4.1583,0.1348,4.0234
